processed_data,label
son thơm mùi dễ_chịu mịn và lén màu rất đẹp son lì thật_sự kh thấm nước mình đặt 1 cây mà shop giao về 2 cây luôn,"[1, 1, 1, 0, 0, 1, 0, 0]"
video chỉ mang tính_chất lấy xu hình_ảnh ms là chính nha thik màu số 25 lâu bâu giờ ms sở_hữu đc,"[0, 0, 0, 0, 0, 1, 0, 0]"
chất_lượng sản_phẩm tuyệt_vời đóng hàng đẹp nhanh gọn hàng mua 17 k nên dùng cũng chỉ tương_xứng thôi,"[0, 0, 0, 1, 0, 0, 0, 1]"
qá đẹp smiling_face_with_heart eyes,"[0, 0, 0, 0, 1, 0, 0, 0]"
shop đóng_gói cẩn_thận giao hàng nhanh tặng thiệp cute xinh xỉu mỗi tội màu này nên môi kiểu hơi tối chọn lộn màu upside down_face smiling_face_with_smiling_eyes,"[0, 0, 0, 0, 0, 1, 1, 1]"
đóng gói rất xinh chất_lượng thì em cũng chưa dùng nên không rõ nhưng chắc là cũng được á 3 uwu,"[0, 0, 0, 0, 0, 0, 0, 0]"
kết_cấu cx duoc độ bền_màu màu đẹp lắm íum này tui mua giùm bạn nênko biết đánh_giá sao cho hợp_lí nhma màu xinh vs đẹp lắm ấy ko đậm quá,"[1, 1, 0, 0, 0, 1, 0, 0]"
đẹp mà hàng tới lâu quá smiling_face_with_tear,"[0, 0, 0, 0, 0, 0, 1, 0]"
màu son lên đúng màu xinh okehbhb,"[0, 0, 0, 0, 0, 1, 0, 0]"
chất son mịn đẹp lắm ạ nên mua mọi người nha sẽ còn ủng_hộ shop,"[0, 1, 0, 0, 0, 0, 0, 0]"
xink,"[0, 0, 0, 0, 1, 0, 0, 0]"
giao hàng khá nhanh với giá này son ok lắm luôn không hiểu sai rẻ vaạyj kakakak,"[0, 0, 0, 1, 0, 0, 1, 0]"
quá sịn xò luôn,"[0, 0, 0, 0, 1, 0, 0, 0]"
hình_ảnh chỉ mang tính_chất nhận xu còn sản_phẩm chưa dùng nên chưa biết chất_lượng như thế_nào thời_gian giao hàng nhanh,"[0, 0, 0, 0, 0, 0, 1, 0]"
màu đẹp lắm luôn ý siêu siêu ưng mỗi tội cái cọ của mình hình_như hơi bị lỗi huhu,"[0, 0, 0, 0, 0, 1, 0, 0]"
thời_gian giao hàng khá lâu vì là hàng nước_ngoài giao đủ đồ ổn,"[0, 0, 0, 0, 0, 0, 1, 0]"
không biết che_phủ ok ko nhưng nền tối màu quá hic c,"[0, 0, 0, 0, 1, 0, 0, 0]"
ship hàng nhanh đóng_gói cần thận son màu đẹp 5 sao cho shop,"[0, 0, 0, 0, 0, 1, 1, 1]"
son rất đẹp lên màu chuẩn nên mua nha,"[0, 0, 0, 0, 0, 1, 0, 0]"
son đẹp ạ lì lâu trôi lắm luôn nhưng kh có mùi thơm đâu ạ ai thích son mùi thơm thì nên cân_nhắc nha,"[1, 0, 1, 0, 0, 0, 0, 0]"
son nhỏ gọn xinh lắm màu lên đều và mịn chất kem đặc có mùi giống socola_shop k lì lắm chùi thì vẫn ra bthuong lớp base xinh lắm nha,"[1, 1, 1, 0, 0, 1, 0, 0]"
son rất đẹp nha mng mình mua đc với giá 1 k quá đỉnh luôn mng nên mua mha,"[0, 0, 0, 1, 0, 0, 0, 0]"
son thơm hình_ảnh mang tính_chất lấy xu mong mn thông kẻm,"[0, 0, 1, 0, 0, 0, 0, 0]"
son xinh xỉu huhu màu 01 đỉnh lắm mí bà ui mà giá siu rẻ lun,"[0, 0, 0, 1, 0, 1, 0, 0]"
không biết_sao chứ mình thấy màu son không giống ảnh lắm mng ạ,"[0, 0, 0, 0, 0, 1, 0, 0]"
màu đẹp màu ở ngoài nâu hơn trên ảnh thích_hợp makeup hơn mặt mộc vỏ son nhám son khá lì mịn môi tùy theo sắc môi sẽ lên nâu nhiều hay ít giao hàng nhanh,"[1, 1, 0, 0, 0, 1, 1, 0]"
chịu nói_chung rẻ nên chất_lượng như_thế hm zậy đó,"[0, 0, 0, 1, 0, 0, 0, 0]"
màu 403 hơi đậm còn màu 503 thì rất ưng son mịn nhẹ môi nma mng nhớ tẩy tbc cho môi r son sẽ đều và đẹp nhé,"[0, 1, 0, 0, 0, 1, 0, 0]"
công_dụng màu_sắc ok lên đúng màu hợp vs da trắng hơn kết_cấu mịn độ bền_màu khá là trôi,"[1, 1, 0, 0, 0, 1, 0, 0]"
kết_cấu son bia last velvet lip tint là chất son tint kết_hợp son kem bền_màu bám chặt lên môi lên màu chuẩn sắc khi thoa lên môi mướt mịn như nhung không bị vón cục và dễ_dàng tán đều sau khi ăn_uống nhẹ sẽ để lại lớp tint màu trên môi,"[1, 1, 0, 0, 0, 1, 0, 0]"
sản_phẩm rất xinh_đẹp tuyệt_vời tôi không_thể trông_đợi gì hơn cảm_ơn nhà cung_cấp nhà_sản_xuất cảm_ơn người bán hàng cảm_ơn sàn thương_mại_điện_tử cảm_ơn người vận_chuyển để tôi có cơ_hội dùng sản_phẩm tốt như thế này hàng đóng_gói rất đẹp quả_nhiên người bán đã gửi_gắm rất nhiều tâm_tư và,"[0, 0, 0, 0, 0, 0, 1, 1]"
son siêu xinh lun nha mng ơi tui dùng 1 thỏi rùi đặt thêm em màu 301 này chất kem mướt lắm á nhen thơm mùi socola nữa nè,"[0, 1, 1, 0, 0, 1, 0, 0]"
tỷ_lệ chị_em có_thể nặn ra một_số hưởng nhỉ có_thể trả em chứ hong có gì là không có gì mới có điểm_chuẩn là gì vậy ạ có_thể trả lại cho bạn gái mà_còn u cho các em có_thể nặn mụn kê,"[0, 0, 0, 0, 1, 0, 0, 0]"
bao_bì chắn chắn son màu xinh giao đúng màu son mùi thơm rất thích ạ,"[0, 0, 1, 0, 0, 1, 1, 1]"
công_dụng son môi kết_cấu chất son mau trôi cảm_giác như fake vậy độ bền_màu màu lên tay đẹp mà lên môi xấu chắc tùy cơ_địa môi nữa giao hàng lâu chắc do dịch màu son lển môi k đẹp như hình,"[1, 1, 0, 0, 0, 1, 1, 0]"
cảm_quan mọi thứ nhìn đều rất xịn xò mặc_dù giá rất mềm tuy_nhiên son khá hôi và mùi rất khó_chịu,"[0, 0, 1, 1, 0, 0, 0, 0]"
son lên màu đẹp lắm í giao hàng cũng k quá lâu ạ đóng_gói oke nè,"[0, 0, 0, 0, 0, 1, 1, 1]"
chất_lượng khỏi bàn quá xịn đáng đồng_tiền nên mua mặc_dù còn một_vài lỗi,"[0, 0, 0, 1, 0, 0, 0, 0]"
màu son giống với màu mà hãng giới_thiệu smiling_face_with_hearts chất son lì không quá khô môi nhưng mà mỗi lần lấy son thì lượng son dính trên cọ hơi nhiều mong hãng sẽ khắc_phục,"[1, 1, 0, 0, 0, 1, 0, 0]"
sản_phẩm đẹp_shop đóng_gói sản_phẩm chắc_chắn shop đóng_gói rất nhanh,"[0, 0, 0, 0, 0, 0, 0, 1]"
son lên màu khá rõ nhưng ko đc lì giao hàng khá chậm ko biết son lần này ntn nhưng lần trc mik mua là son mẹ hỏng hết bên trong màu đánh mãi ms lên vẫn phải chấp_nhận vì giá rẻ chỉ đc v thui,"[1, 0, 0, 1, 0, 1, 1, 0]"
màu ổn đánh khô môi giao hàng nhanh giá hợp,"[0, 1, 0, 1, 0, 1, 1, 0]"
son đóng_gói cẩn_thận ạ chưa dùng thử nên chưa biết thế_nào hình_ảnh chỉ mang tính_chất nhận xu,"[0, 0, 0, 0, 0, 0, 0, 1]"
đóng gói cẩn_thận thời_gian giao hàng lâu màu son đẹp mềm mịn môi nhưng k lì,"[1, 1, 0, 0, 0, 1, 1, 1]"
giao hàng nhanh son cực đẹp và sang lắm lun dòng merzy nào mình cũng sắm nên mê e này lắm lun,"[0, 0, 0, 0, 0, 0, 1, 0]"
màu son đẹp không hổ_danh là màu trendy của hãng red_heart,"[0, 0, 0, 0, 0, 1, 0, 0]"
son cực đẹp màu lên cực chuẩn có điều k đc mềm tí nhưng mà ok lắm mn nên mua nah hợp vs cô gái ngầu lòi lắm á hihi cảm_ơn vì sản_phẩm chất_lượng,"[0, 1, 0, 0, 0, 1, 0, 0]"
màu vệ xinh nha,"[0, 0, 0, 0, 1, 0, 0, 0]"
công_dụng son moi kết_cấu tốt độ bền_màu 5 tieng sản_phẩm chính hãng giao hàng nhanhn lắm luôn dzj,"[1, 1, 0, 0, 0, 0, 1, 0]"
shop giao hàng đúng sản_phẩm màu v20 này nhẹ_nhàng màu chủ_đạo là màu hồng có chút cam nên mấy bạn da trung_bình cũng xài được nha nhớ makeup xíu cho son lên màu đẹp hơn,"[0, 0, 0, 0, 0, 1, 1, 0]"
giao hàng lâu ạ shop gói hàng rất cẩn_thận có chống sốc và thiệp mình mua hàng mal nên rất yên_tâm luôn,"[0, 0, 0, 0, 0, 0, 1, 1]"
smoking that purp hai chân lowkey đi nike blazer she got served ain t told a bad bitch that she s my girl em ấy y_tá tay xin insta tay tiêm tao pfizer em ấy thấy nhớ nhắn nhớ em không nhưng tao hỏi ai ker tao mua cây thông tao treo con grilz tao lên trên cây thông tao mua chăn bông xong đắp,"[0, 0, 0, 0, 1, 0, 0, 0]"
son màu đẹp ship nhanh đóng_gói cẩn_thận tks_shop sẽ quay lại lần sau mình sẽ mua đủ màu để trải_nghiệm smiling_face_with_smiling_eyes,"[0, 0, 0, 0, 0, 1, 1, 1]"
đóng gói vô_cùng chất lg sản_phẩm thì siu xinh mà_còn rất đẹp nữa,"[0, 0, 0, 0, 0, 0, 0, 1]"
đã rất nhiều lần mua đồ của shop và cực_kỳ hài_lòng về sản_phẩm mấy món này nhỏ nhỏ xinh_xinh nhìn cưng dễ_sợ,"[0, 0, 0, 0, 1, 0, 0, 0]"
shop uy_tín lắm nha mọi người nên ủng_hộ shop có mỗi khuyết_điểm là giao hàng hơi lâu thui,"[0, 0, 0, 0, 0, 0, 1, 0]"
chất son kem nhẹ rất dễ sử_dụng hằng ngày 2 cây 9 k thiết_kế cũng dễ_thương đáng mua,"[0, 1, 0, 1, 0, 0, 0, 0]"
2 màu đều đẹp hết á mn mà bị cái son lên môi của tui cứ bị base hồng í smiling_face_with_tear nhưng cái màu 302 lên màu xinh hơn làm da trắng răng cũng trắng nữa còn màu 204 lên môi hơi bợt thích_hợp dùng là base hơn,"[0, 0, 0, 0, 0, 1, 0, 0]"
chất_lượng sản_phẩm tuyệt_vời rất đáng tiền có điều giao hàng hơi lâu,"[0, 0, 0, 1, 0, 0, 1, 0]"
gioa hàng nhanh đóng_gói cẩn_thận son okay tiếc quá không phải màu mình thích,"[0, 0, 0, 0, 0, 1, 1, 1]"
shop chuẩn_bị hàng tốt giao hàng nhanh chất_lượng hàng tốt rất hài_lòng về sản_phẩm,"[0, 0, 0, 0, 0, 0, 1, 0]"
dù dịch nhưng shop vẫn giao hàng khá nhanh đóng gói hàng cẩn_thận,"[0, 0, 0, 0, 0, 0, 1, 1]"
chất bia đẹp khỏi bàn òi cũng lâu trôi nữa hihi nên mua lắm nha,"[1, 1, 0, 0, 0, 0, 0, 0]"
chưa sài nên kh biết chất_lượng như nào bề_ngoài đẹp xinh lắm son mùi cafe sữa thơm xỉu luôn,"[0, 0, 1, 0, 0, 0, 0, 0]"
son xinh màu xinh dễ đánh lâu trôi hình_ảnh chỉ mang tính_chất nhận xu,"[1, 0, 0, 0, 0, 1, 0, 0]"
son xinh mùi không được dễ_chịu cho lắm nhưng chất son xinh màu lên đẹp,"[0, 1, 1, 0, 0, 1, 0, 0]"
mùi son giống mùi socola chất mịn đẹp rất ưng làn sau sẽ ủng_hộ shop tiếp,"[0, 1, 1, 0, 0, 0, 0, 0]"
son màu i như hình không khác gì luôn í mịn nữa không bị nặng môi như mấy son kem khác mình dùng mình mua thử làm son base thôi mà với giá với chất_lượng như này lần sau mình sẽ thử màu khác son thơm mùi socola v,"[0, 1, 1, 1, 0, 1, 0, 0]"
giao hàng nhanh đóng_gói cẩn_thận vỏ sơn xinh_xắn nhưng cầm khá nhẹ_tay màu son đẹp và sáng hơn trong ảnh k biết có nhanh trôi k nữa,"[1, 0, 0, 0, 0, 1, 1, 1]"
son xinh lắm rẻ nx cơ mua 2 lần r mầu lên chuẩn mịn môi mùi hơi kinh thôi,"[0, 1, 1, 0, 0, 1, 0, 0]"
đẹp,"[0, 0, 0, 0, 1, 0, 0, 0]"
son đẹp chất xịn mê lắm bao_bì xịn xò mê cực đóng_gói sản_phẩm kĩ_lưỡng giao hàng nhanh,"[0, 1, 0, 0, 0, 0, 1, 1]"
son mùi thơm nhẹ vỏ xinh mình được tặng thêm son mash mặt và môi,"[0, 0, 1, 0, 0, 0, 0, 0]"
đẹp lắm nha đóng_gói kĩ_càng sản_phẩm chất_lượng tốt giá_cả hợp_lý nên mua nha các bạn ghost beating_heart,"[0, 0, 0, 1, 0, 0, 0, 1]"
son rẻ mà thơm lắm í nên mua thử dùng nha bảng_màu đẹpo,"[0, 0, 1, 1, 0, 1, 0, 0]"
săn sale được giá này rất okela luôn hàng quốc_tế nên giao hành hơi lâu thôi à,"[0, 0, 0, 1, 0, 0, 1, 0]"
kết_cấu chất son hơi lỏng hơn mình nghĩ độ bền_màu màu lên đẹp không bị rít môi nên mua nha mọi người,"[1, 1, 0, 0, 0, 1, 0, 0]"
son nhỏ xinh giao hàng hơi lâu chất son mềm mịn k giữ đc màu lâu,"[1, 1, 0, 0, 0, 0, 1, 0]"
eocnw kx dke,"[0, 0, 0, 0, 1, 0, 0, 0]"
giao hàng nhanh 10 ngày nhận gói hàng chắc_chắn bao_bì xịn màu 24 xinh tiệp màu môi 28 mình nghĩ đỏ đất cơ này không giống chất son mịn mướt nhẹ môi mùi trái_cây nhẹ,"[0, 1, 1, 0, 0, 1, 1, 1]"
hàng khá ok ạ,"[0, 0, 0, 0, 1, 0, 0, 0]"
nhận son xinh xỉu luôn thích lắm giao đúng màu nữa,"[0, 0, 0, 0, 0, 1, 1, 0]"
mình đặt son màu đỏ ánh xám nhưng màu lại nghiêng về hồng nữa nhưng cũng khá là đẹp hình_ảnh chỉ mang tính_chất nhận xu,"[0, 0, 0, 0, 0, 1, 0, 0]"
công_dụng son môi kết_cấu son kem độ bền_màu tạm ổn 6 10 màu đẹp thơm mùi trái_cây giao hàng nhanh_shop tư_vấn nhiệt_tình,"[1, 1, 1, 0, 0, 1, 1, 0]"
son ok hàng quốc_tế nên giao hơi lâu năm sao lần sau sẽ mua tiếp,"[0, 0, 0, 0, 0, 0, 1, 0]"
nhỏ nhỏ xinh_xinh ưng ghê luôn á giao hàng nhanh 5 ngày mình đã nhận được rồi,"[0, 0, 0, 0, 0, 0, 1, 0]"
son hot lâu rồi mà h mới biết và mua đây cũng là lần đầu mua shope mal lun nhưng tin_tưởng lắm giao hàng nhanh son đẹp thật mền mịn chỉ là buồn vì ko đc lì nhưng review ko biết tại môi mình hay_sao relieved_face thinking_face,"[1, 1, 0, 0, 0, 0, 1, 0]"
công_dụng hsw kết_cấu bkd độ bền_màu 8 10 đóng_gói tốt chất_lượng tốt màu đẹp rất tôn da mấy bạn da ngăm nên thử mình mua màu 905,"[1, 1, 0, 0, 0, 1, 0, 0]"
hình_ảnh mang tính_chất nhận xu son đẹp dễ dánh bền_màu nhé mn,"[1, 0, 0, 0, 0, 0, 0, 0]"
ui son đỉnh lắm mọi người ạ chất lên mịn chuẩn màu lắm luôn sẽ ủng_hộ shop dài_dài red_heart,"[0, 1, 0, 0, 0, 1, 0, 0]"
sản_phẩm rất đáng để mua nha mọi người k có chổ nào chê được luôn á mua lần đầu mà ưng_ý như vậy rồi sẽ ủng_hộ tiếp hộp phấn rất mịn luôn son thì màu lên rất đẹp thời_gian giao hàng nhanh nữa,"[0, 0, 0, 0, 0, 1, 1, 0]"
son đẹp chất_lượng nha mọi người smiling_cat_with_heart eyes ship hơi lâu nhưng mà đẹp gói đẹp và chắc_chắn,"[0, 0, 0, 0, 0, 0, 1, 1]"
sho thì khỏi bàn_cãi r nhưng do đt có vấn_đề k chụp đx nên để ảnh khác nha shop,"[0, 0, 0, 0, 1, 0, 0, 0]"
rất đáng tiền shop phục_vụ rất tốt đóng_gói sản_phẩm rất đẹp và chắc_chắn,"[0, 0, 0, 1, 0, 0, 0, 1]"
công_dụng tốt kết_cấu mịn độ bền_màu tốt son lên màu rất đẹp son mịn hơi dễ trôi_shop nhiệt_tình giao hàng nhanh,"[1, 1, 0, 0, 0, 1, 1, 0]"
son cầm chắc tay hơi lì thôi chứ k lì lắm màu đẹp uống nc k bị dính son ra ly tách đóng gói đẹp và kỹ có túi chống sốc nói_chung là ổn,"[1, 0, 0, 0, 0, 1, 0, 0]"
hàng giao khá nhanh đóng_gói cẩn_thận và chắc_chắn khi check mã_vạch thì_ra 160 k và chưa được kiểm_chứng,"[0, 0, 0, 1, 0, 0, 1, 1]"
màu son lên chuẩn như ảnh_shop gói hàng cẩn_thận giao hàng nhanh,"[0, 0, 0, 0, 0, 1, 1, 1]"
son đẹp smiling_cat_with_heart eyes mùi rất thơm á và nên mua nha mọi người,"[0, 0, 1, 0, 0, 0, 0, 0]"
son mềm môi màu đẹp chuẩn chất_lượng tốt phù_hợp giá tiền hợp_lý,"[0, 1, 0, 1, 0, 1, 0, 0]"
giao hàng nhanh vỏ cực đẹp nha nhìn sang lắm luôn màu lên ưng_ý quá tr độ lì thì thôi khỏi bàn r,"[1, 0, 0, 0, 0, 1, 1, 0]"
giao nhanh màu xinh,"[0, 0, 0, 0, 0, 1, 1, 0]"
son lên màu đẹp k bị khô bền_màu hình_ảnh và video chỉ mang tính_chất nhận xu,"[1, 1, 0, 0, 0, 1, 0, 0]"
màu đẹp lắm ăn nên mua nha mn,"[0, 0, 0, 0, 0, 1, 0, 0]"
giao hàng ok chất son cũg ok giá ổn nói_chung hàng chất lượg,"[0, 1, 0, 1, 0, 0, 1, 0]"
sản_phẩm đúng mô_tả,"[0, 0, 0, 0, 1, 0, 0, 0]"
công_dụng ok kết_cấu ok độ bền_màu ok nha ok nha mọi ngươ i mă c du lâ n đâ u mua ơ shop,"[1, 1, 0, 0, 0, 0, 0, 0]"
son xink lắm nha,"[0, 0, 0, 0, 1, 0, 0, 0]"
son thơm nha quý vị hình_ảnh và video chỉ là để nhận xu thoi,"[0, 0, 1, 0, 0, 0, 0, 0]"
mình mua lần 2 rùi chất son lên rất ok nhưng base đỏ nhìu hơn nâu nhưng vẫn xinh lém mng nên mua nha,"[0, 1, 0, 0, 0, 0, 0, 0]"
màu 302 xinh giao đúng mẫu nhưng chẳng hiểu sao màu 203 lại là hồng cánh sen mùi thơm,"[0, 0, 1, 0, 0, 1, 1, 0]"
chất son ổn mịn thơm nhẹ màu k chuẩn với swatch lắm mình đặt nâu cf cam nhg lên vẫn có tone đỏ nhiều anw màu lên vẫn xinh nổi sáng da lắm,"[0, 1, 1, 0, 0, 1, 0, 0]"
son xinh kinh_khủng ý vỏ đẹp giá rẻ ở nước_ngoài mà giao hàng rất nhanh màu son cũng siêu xinh lun đc dịp mua sale quá hời,"[0, 0, 0, 1, 0, 1, 1, 0]"
mẫu_mã đẹp màu son sáng da thơm rất ưng_ý về sp,"[0, 0, 1, 0, 0, 1, 0, 0]"
màu 25 final note cam đất pha đỏ đây là sự kết_hợp hoàn_hảo giữa các sắc cam đỏ và đất là một cực_phẩm mà bạn sẽ không_thể bỏ_lỡ với tông màu 25 final note không hề kén tong da thích_hợp dùng hàng ngày đi học hay đi làm đều rất đẹp,"[0, 0, 0, 0, 0, 1, 0, 0]"
đẹp,"[0, 0, 0, 0, 1, 0, 0, 0]"
son thơm mùi socola mặc_dù hơi khô nhưng chất vẫn mịn và xứng_đáng với giá tiền,"[0, 1, 1, 1, 0, 0, 0, 0]"
hu son xg xỉu luôn hàng giao nhanh 5 sao luôn purple_heart,"[0, 0, 0, 0, 0, 0, 1, 0]"
tuyệt_vời màu 06 sáng da hơn 03 ạ partying_face,"[0, 0, 0, 0, 0, 1, 0, 0]"
màu đẹp xỉu luôn ấy mng nhất là màu 942 son một lần lấy ra khá là nhiều đủ tô cả môi chất son mướt không gây nặng môi với giá sale mình mua được thì quá ổn luôn,"[0, 1, 0, 1, 0, 1, 0, 0]"
đánh lên môi mịn ổn màu tươi xl hình_ảnh và vd k liên_quan lắm,"[0, 1, 0, 0, 0, 1, 0, 0]"
màu 16 này hợp với mấy bạn da trắng thui nhe màu lên xinh lắm shop đóng_gói cẩn_thận package giao hàng nhanh,"[0, 0, 0, 0, 0, 1, 1, 1]"
son xinh xỉu vỏ son nhìn rất sang shop gói hàng cẩn_thận son dễ tán màu lên đẹp mình da ngăm đánh lên rất tôn da nha mọi người ai còn phân_vân thì mua ngay đi ạ,"[0, 1, 0, 0, 0, 1, 0, 1]"
công_dụng son môi kết_cấu chưa sử_dụng độ bền_màu chưa sử_dụng đóng_gói cẩn_thận chắc chắc có giấy_bóng chống xốc,"[1, 1, 0, 0, 0, 0, 0, 1]"
rất xinh đep luôn đấy nhaá,"[0, 0, 0, 0, 1, 0, 0, 0]"
săn dc sale kiki màu này lúc đỏ lúc đỏ hồng lúc có tí tím lúc màu mận mận chả biết nao nma thích chất son_dưỡng môi bôi okela nma son tràn lên quá nhiều với 1 đứa thích son sạch như m thì đây là sự đau_đớn smiling_face_with_tear,"[0, 1, 0, 1, 0, 1, 0, 0]"
sản_phẩm đẹp nên mua màu rất ưng giao hàng nhanh nữa đáng mua aạ,"[0, 0, 0, 0, 0, 1, 1, 0]"
shiper sáng sớm không giao tối đến bố_mẹ ở nhà mới giao bị chửi tơi_bời crying_face,"[0, 0, 0, 0, 0, 1, 0, 0]"
màu lên tay k ổn chất_lượng bthg giao hàng lâu,"[0, 0, 0, 0, 0, 1, 1, 0]"
son xinh mịn nên mua nha mn,"[0, 1, 0, 0, 0, 0, 0, 0]"
gói hàng cẩn_thận mùi thơm cực,"[0, 0, 1, 0, 0, 0, 0, 1]"
công_dụng 10 10 kết_cấu 10 10 độ bền_màu 9 10 hàng xinh đóng_gói chắc_chắn ukla nè thumbs_up_light_skin_tone,"[1, 1, 0, 0, 0, 0, 0, 1]"
chất son mịn màu đẹp giá rẻ ship hơi lâu thui ncl rcm mua ha 2 màu này tây xỉu i laik it,"[0, 1, 0, 1, 0, 1, 1, 0]"
son thơm chất son lì nhưng cũng để lại vân môi hình_ảnh mang tính tượng_trưng,"[1, 1, 1, 0, 0, 0, 0, 0]"
son màu đẹp thơm mùi socola nó cx lì lắm luôn á son đẹp nhma giao hàng lâu quá đặt từ mùng 1 mà mãi 14 ms đc nhận hàng,"[1, 0, 1, 0, 0, 1, 1, 0]"
màu 402 makeup nữa thì sẽ đẹp hơn chất son mịn k bị khô môi,"[0, 1, 0, 0, 0, 1, 0, 0]"
son hơi khô chất_lượng so vs giá_thành sale nên ko đòi_hỏi nhiều,"[0, 1, 0, 1, 0, 0, 0, 0]"
mua son này làn thứ hai rồi nha,"[0, 0, 0, 0, 1, 0, 0, 0]"
son đẹp mà giao nhanh lắm săn sale 12 12 mà 3 ngày sau đã về rùi chất son đẹp và thơm lắm lun,"[0, 1, 1, 1, 0, 0, 1, 0]"
giao hàng siêu nhanh face_blowing_a_kiss đóng_gói cẩn_thận,"[0, 0, 0, 0, 0, 0, 1, 1]"
ui rẻ mà đẹp lắm mn ơi son mịn dã_man luôn í_shop mãi đỉnh hihi,"[0, 1, 0, 1, 0, 0, 0, 0]"
giao hàng nhanh so với quốc_tế tầm 1 tuần là có canh sale nên giá mềm sẽ ủng_hộ tiếp,"[0, 0, 0, 1, 0, 0, 1, 0]"
cây son nhỏ hơn mình nghĩ mùi son hơi hắc nhưng cững_hợp với giá tiền giap đúng hàng vì là hàng quốc_tế nên về hơi lâu nói_chung là được son mịn mượt,"[0, 1, 1, 1, 0, 0, 1, 0]"
son xinh lắm nha mua tận 4 cây là chỉ 157 k mà chất mịn son mùi thơm nữa winking_face,"[0, 1, 1, 1, 0, 0, 0, 0]"
công_dụng làm đẹp kết_cấu k giao hàng siêu nhanh chiều đặt trưa có sẽ ung hộ nếu ok k,"[0, 0, 0, 0, 1, 0, 1, 0]"
màu son rất xinh lên môi ko bị kén da thời_gian giao hàng nhanh,"[0, 0, 0, 0, 0, 1, 1, 0]"
son ok gói hàng hơi sơ_sài ship,"[0, 0, 0, 0, 0, 0, 1, 1]"
dong goi san pham tuyet voi dong goi san pham dep giao hang nhanh,"[0, 0, 0, 0, 0, 0, 1, 1]"
ui đỉnh của đỉnh luôn á mùi thơm cực_kì luôn màu này đánh lòng môi thì đỉnh dã_man red_heart,"[0, 0, 1, 0, 0, 1, 0, 0]"
hàng quốc_tế nên giao hơi lâu nhưg cũng k sao son ok hình dán thì đợi thử đã,"[0, 0, 0, 0, 0, 0, 1, 0]"
son màu đẹp lắm ạ,"[0, 0, 0, 0, 0, 1, 0, 0]"
màu này siêu đẹp luôn cứ phải gọi là đỉnh của chóp 3,"[0, 0, 0, 0, 0, 1, 0, 0]"
son thơm màu xinh hình_ảnh và video chỉ mang tính_chất nhận xu,"[0, 0, 1, 0, 0, 1, 0, 0]"
son rất chi là khô môi ạ son lên sẽ thấy rất rõ các nếp nhăn của môi khó tán cho đều màu son cầm nhẹ_tay nè nên làm ta cảm_giác rất là rẻ_tiền mà đúng là nó rẻ thiệt đóng_gói thì rất chi là sơ_sài ai thích tốn tiền thì mua nha,"[0, 1, 0, 1, 0, 0, 0, 1]"
son đẹp lắm mn mua lần 5 cây là biết chất lương s rồi,"[0, 0, 0, 0, 1, 0, 0, 0]"
sản_phẩm ok giao đúng mẫu tuy_nhiên đợt này nhận hàng rất lâu gần 1 tháng vẫn cứ ở tq khi mình bấm trả hàng hoàn tiền thì vèo cái ngày hôm sau giao cho mình liền nhiều lúc khó hiểu shope ghê,"[0, 0, 0, 0, 0, 0, 1, 0]"
giao hàng hơi lâu màu sơn khá xinh đóng_gói sp ô_tô kê,"[0, 0, 0, 0, 0, 1, 1, 1]"
xinh xỉu luôn vọng rằng với tài_liệu này thì các bạn có thêm nhiều cách làm bài văn nghị_luận xã_hội lớp 12 hơn cũng như có thêm hành_trang để bước vào kỳ thi thpt quốc_gia sắp tới sau đây sẽ là dàn_ý chi_tiết cùng với 2 bài_văn mẫu nghị_luận về câu,"[0, 0, 0, 0, 1, 0, 0, 0]"
màu lên xinh xỉu luôn smiling_face_with_heart eyes thích lắm,"[0, 0, 0, 0, 0, 1, 0, 0]"
chưa đến 10 k 1 e son nghe bạn review dùng đẹp và lì lắm ạ,"[1, 0, 0, 1, 0, 0, 0, 0]"
chất_lượng sản_phẩm tuyệt_vời hàng quốc_tế nên giao hơi lâu c,"[0, 0, 0, 0, 0, 0, 1, 0]"
không biết cố_tình hay sai_sót nhưng mình đặt 4 sản_phẩm và trả tiền trước nhưng chỉ giao 3 spham son kém chất_lượng k dính môi và lệch tông,"[0, 1, 0, 0, 0, 1, 0, 0]"
giao hàng nhanh gói hàng kĩ son chất_lượng và rẻ có deal nên đc giảm nhiều 3,"[0, 0, 0, 1, 0, 0, 1, 1]"
son mịn mượt mùi thơm đóng hàng cẩn_thận sẽ mua laịui,"[0, 1, 1, 0, 0, 0, 0, 1]"
mua hàng của shop lần nào cũng thấy yên_tâm lắm ấy sẽ ủng_hộ shop dài thiệt dài luôn smiling_face_with_heart eyes,"[0, 0, 0, 0, 1, 0, 0, 0]"
shop đóng_gói kỹ_lưỡng chưa sử_dụng thử nhưng pd là brand nổi_tiếng sẽ ủng_hộ tiếp 3,"[0, 0, 0, 0, 0, 0, 0, 1]"
công_dụng gút chóp kết_cấu mượt độ bền_màu chưa rõ lắm giao hàng nhanh màu god mịn xịn,"[1, 1, 0, 0, 0, 1, 1, 0]"
